
NOTICE: Existing SQLite export found: fluid_profile.sqlite
        It is assumed file was previously exported from: fluid_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [fluid_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  ----------------------------------------------------------------------------------------------------
     42.1      823,347,250        128   6,432,400.4     266,945.5       4,673  477,375,648  42,115,704.6  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                      
     19.2      374,580,312         20  18,729,015.6  18,915,314.0  16,865,317   19,660,962     686,724.0  ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)          
     13.8      270,497,254      1,120     241,515.4     184,610.5       5,281    1,237,159     209,288.6  ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)                               
      3.8       73,877,640         74     998,346.5       9,169.5       4,545   35,122,544   4,849,037.3  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
      1.6       30,327,215        526      57,656.3      10,082.0       1,088      332,958      88,686.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::Te…
      1.5       28,444,575        268     106,136.5      95,986.0       1,665      306,745      92,737.8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.2       23,576,376        447      52,743.6      18,660.0      11,298      374,182      95,837.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nt_align8>(T1::Param…
      1.2       23,482,455        765      30,696.0       2,785.0       2,112      255,952      75,103.7  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char *,…
      1.2       23,014,084         80     287,676.0     214,520.0       2,528      711,782     257,838.7  void multi_tensor_apply_kernel<TensorListMetadata<(int)4, (bool)0>, transformer_engine::multi_tenso…
      1.1       21,556,922        160     134,730.8     134,585.0     121,559      137,978       2,101.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.1       21,131,149        324      65,219.6      25,412.0      15,587      384,968     115,171.5  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn                                          
      0.9       17,537,287        240      73,072.0       1,280.0         864      218,953     101,683.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
